c,Parent Class,GCA - Necessary,Equivalency - Necessary and sufficient
Defect,BFO:Disposition,,EquivalentTo: (defectOccursOn some IOF:MaterialProduct)
ParameterQuality,BFO:Quality,,EquivalentTo: (IOF:describedBy some ParameterObservation) and (IOF:prescribedBy some ParameterSpecification) and (BFO:BFO_0000197 some IOF:MaterialProduct)
ParameterCharacteristic,IOF:ProcessCharacteristic,,EquivalentTo: (IOF:describedBy some ParameterObservation) and (IOF:prescribedBy some ParameterSpecification) and (BFO:BFO_0000132 some IOF:ManufacturingProcess)
ParameterObservation,IOF:MeasurementInformationContentEntity,(observationOf some IOF:MaterialProduct) subClassOf ParameterObservation,EquivalentTo: IOF:describes some (ParameterQuality or ParameterCharacteristic) and (IOF:isAbout some ParameterSpecification) and (observationOf some IOF:MaterialProduct)
ParameterSpecification,IOF:RequirementSpecification,(prov:wasDerivedFrom some ProductProcessSpecificationDocument),EquivalentTo: IOF:prescribes some (ParameterQuality or ParameterCharacteristic) and (prov:wasDerivedFrom some ProductProcessSpecificationDocument)
ConformanceAssessment,prov:Activity,(prov:generated some FailureCause) subClassOf ConformanceAssessment,"EquivalentTo: 
  (hasAssessmentInput some IOF:MeasurementInformationContentEntity) and (prov:generated some FailureCause)"
FailureCause,BFO:Disposition,(RO:directlyCausallyInfluences some Effect) subClassOf FailureCause,EquivalentTo: (affects some IOF:MaterialProduct) and (prov:wasGeneratedBy some ConformanceAssessment) and (RO:directlyCausallyInfluences some Effect)
Effect,BFO:Disposition,,EquivalentTo: (RO:directlyCausallyInfluencedBy some FailureCause)
CorrectiveAction,IOF:ActionSpecification,,EquivalentTo: (corrects some RootCause)
